"date","country","pos_metric"
2020-08-06,"AD",93.0284099048376
2020-08-07,"AD",93.0284099048376
2020-08-08,"AD",93.0284099048376
2020-08-09,"AD",93.0284099048376
2020-08-10,"AD",93.0284099048376
2020-08-11,"AD",93.0284099048376
2020-08-12,"AD",93.0284099048376
2020-08-13,"AD",93.0284099048376
2020-08-14,"AD",93.0284099048376
2020-08-15,"AD",93.0284099048376
2020-08-16,"AD",0
2020-08-17,"AD",93.0284099048376
2020-08-18,"AD",0
2020-08-19,"AD",0
2020-08-20,"AD",93.0284099048376
2020-08-21,"AD",93.0284099048376
2020-08-22,"AD",0
2020-08-23,"AD",0
2020-08-24,"AD",0
2020-08-25,"AD",0
2020-08-26,"AD",0
2020-08-27,"AD",93.0284099048376
2020-08-28,"AD",0
2020-08-29,"AD",0
2020-08-30,"AD",0
2020-08-31,"AD",93.0284099048376
2020-09-01,"AD",93.0284099048376
2020-09-02,"AD",0
2020-09-03,"AD",0
2020-09-04,"AD",0
2020-09-05,"AD",93.0284099048376
2020-09-06,"AD",93.0284099048376
2020-09-07,"AD",0
2020-09-08,"AD",93.0284099048376
2020-09-09,"AD",0
2020-09-10,"AD",0
2020-09-11,"AD",93.0284099048376
2020-09-12,"AD",93.0284099048376
2020-09-13,"AD",93.0284099048376
2020-09-14,"AD",0
2020-09-15,"AD",0
2020-09-16,"AD",0
2020-09-17,"AD",93.0284099048376
2020-09-18,"AD",0
2020-09-19,"AD",0
2020-09-20,"AD",0
2020-09-21,"AD",93.0284099048376
2020-09-22,"AD",93.0284099048376
2020-09-23,"AD",0
2020-09-24,"AD",0
2020-09-25,"AD",0
2020-09-26,"AD",93.0284099048376
2020-09-27,"AD",0
2020-09-28,"AD",0
2020-09-29,"AD",0
2020-09-30,"AD",0
2020-10-01,"AD",93.0284099048376
2020-10-02,"AD",0
2020-10-03,"AD",0
2020-10-04,"AD",93.0284099048376
2020-10-05,"AD",93.0284099048376
2020-10-06,"AD",93.0284099048376
2020-10-07,"AD",0
2020-10-08,"AD",0
2020-10-09,"AD",0
2020-10-10,"AD",0
2020-10-11,"AD",0
2020-10-12,"AD",0
2020-10-13,"AD",0
2020-10-14,"AD",0
2020-10-15,"AD",0
2020-10-16,"AD",0
2020-10-17,"AD",93.0284099048376
2020-10-18,"AD",0
2020-10-19,"AD",93.0284099048376
2020-10-20,"AD",0
2020-10-21,"AD",0
2020-10-22,"AD",0
2020-10-23,"AD",0
2020-10-24,"AD",93.0284099048376
2020-10-25,"AD",93.0284099048376
2020-10-26,"AD",0
2020-10-27,"AD",0
2020-10-28,"AD",0
2020-10-29,"AD",0
2020-10-30,"AD",0
2020-10-31,"AD",93.0284099048376
2020-11-01,"AD",93.0284099048376
2020-08-06,"AE",0
2020-08-07,"AE",5.55956336022781
2020-08-08,"AE",5.20027784209308
2020-08-09,"AE",4.81993499458288
2020-08-10,"AE",4.50664485790227
2020-08-11,"AE",4.16738438494664
2020-08-12,"AE",3.99058541595344
2020-08-13,"AE",3.70263367916999
2020-08-14,"AE",3.6375612745098
